url,type,domain,tld,owner,e_count,has_A_and_T
uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign,linkedin.com,com,LinkedIn Corporation,1,false
http://www.vnic.co/khach-hang.html,defacement,vnic.co,co,Cong ty TNHH Tu van Dau tu Viet Nam,0,false
baseball-reference.com/players/h/harrige01.shtml,benign,baseball-reference.com,com,Identity Protection Service,5,false
signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing,civpro.co.za,co.za,null,0,false
192.com/atoz/people/oakley/patrick/,benign,192.com,com,123-Reg Limited,0,false
nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign,nytimes.com,com,The New York Times Company,1,false
escholarship.org/uc/item/5xt4952c,benign,escholarship.org,org,Identity Protection Service,1,false
songfacts.com/detail.php?id=13410,benign,songfacts.com,com,"LLC, Songfacts,",0,true
casamanana.org/education/blba/,benign,casamanana.org,org,Casa Manana Theatre,0,false
http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign,hollywoodlife.com,com,"Hollywoodlife.com, LLC",1,false
http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing,marketingbyinternet.com,com,Fundacion Privacy Services LTD,3,true
en.wikipedia.org/wiki/North_Dakota,benign,wikipedia.org,org,"Wikimedia Foundation, Inc.",1,false
soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign,sheknows.com,com,"GoDaddy.com, LLC",1,false
perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign,perfectpeople.net,net,Super Privacy Service LTD c/o Dynadot,5,false
media.caltech.edu/press_releases/13186,benign,caltech.edu,edu,null,2,true
wikiobits.com/Obits/TonyProudfoot,benign,wikiobits.com,com,REDACTED FOR PRIVACY,0,false
vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign,rivals.com,com,"GoDaddy.com, LLC",0,false
http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement,peluqueriadeautor.com,com,REDACTED FOR PRIVACY,3,true
movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign,yahoo.com,com,null,0,false
cyndislist.com/us/pa/counties,benign,cyndislist.com,com,"PERFECT PRIVACY, LLC",0,false
http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware,824555.com,com,"GoDaddy.com, LLC",0,false
http://www.raci.it/component/user/reset.html,defacement,raci.it,it,Raci Srl,0,true
https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing,google.com,com,Google LLC,1,false
psychology.wikia.com/wiki/Phonemes,benign,wikia.com,com,Contact Privacy Inc. Customer 0130027609,0,false
info.centriq.com/content/fivereasons,benign,centriq.com,com,"GoDaddy.com, LLC",1,false
articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign,baltimoresun.com,com,"GoDaddy Corporate Domains, LLC",1,true
infinitysw.com/,benign,infinitysw.com,com,Contact Privacy Inc. Customer 0136748958,0,false
strawberrycreekgardens.com/,benign,strawberrycreekgardens.com,com,null,4,true
http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement,earth-sure.com,com,"GoDaddy.com, LLC",2,true
spoke.com/dir/p/desantis/nick,benign,spoke.com,com,"GoDaddy.com, LLC",1,false
wordsmith.org/words/pignus.html,benign,wordsmith.org,org,REDACTED,0,false
http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign,interpark.com,com,"Gabia, Inc.",1,true
http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement,newtec.ac.uk,ac.uk,The JNT Association,2,true
http://www.kingsmillshotel.com/spring/mothers-day,defacement,kingsmillshotel.com,com,123-Reg Limited,1,false
almanac.logos.com/Denominations,benign,logos.com,com,"GoDaddy.com, LLC",0,false
gaming.wikia.com/wiki/Backbreaker_(video_game),benign,wikia.com,com,Contact Privacy Inc. Customer 0130027609,0,false
ceu.hu/,benign,ceu.hu,hu,null,1,false
registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign,weddingchannel.com,com,"GoDaddy Corporate Domains, LLC",2,false
linkedin.com/pub/george-cleveland/7/80a/599,benign,linkedin.com,com,LinkedIn Corporation,1,false
sunshinemills.com/,benign,sunshinemills.com,com,"GoDaddy.com, LLC",1,false
agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign,agoda.com,com,MarkMonitor Inc.,0,false
ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign,ctv.ca,ca,Bell Canada,0,true
http://www.approvi.com.br/ck.htm,defacement,approvi.com.br,com.br,Approvi Cursos Preparat rios Ltda.,0,false
http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement,shaborooz.ir,ir,null,0,false
veoox.com/tags/game.html,benign,veoox.com,com,"GoDaddy.com, LLC",1,false
chuckwalkertrio.blogspot.com/,benign,blogspot.com,com,MarkMonitor Inc.,0,false
aerosolesshoes.org/,benign,aerosolesshoes.org,org,null,3,false
http://www.juventudelirica.com.br/index.html,defacement,juventudelirica.com.br,com.br,null,2,true
http://www.myenrg.com/southwest/9-texas,defacement,myenrg.com,com,Bluehost Inc.,1,false
recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign,recipelink.com,com,Privacy service provided by Withheld for Privacy ehf,2,false
http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement,musimagen.com,com,GDPR Masked,1,false
ideas.repec.org/f/pma235.html,benign,repec.org,org,REDACTED,2,false
peopleaz.org/firstname/Fowlkes/6,benign,peopleaz.org,org,null,2,false
orensamtraktrip.wordpress.com/,benign,wordpress.com,com,"Automattic, Inc.",1,false
retajconsultancy.com,phishing,retajconsultancy.com,com,Gname 278 Inc,1,true
alexa.com/whatshot?q=james+arness,benign,alexa.com,com,MarkMonitor Inc.,1,false
jpopasia.com/group/arashi/discography/,benign,jpopasia.com,com,REDACTED FOR PRIVACY,0,false
kitsapsun.com/photos/2011/feb/25/177999/,benign,kitsapsun.com,com,"GoDaddy Corporate Domains, LLC",0,true
local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign,yahoo.com,com,MarkMonitor Inc.,0,false
tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign,tripadvisor.com,com,"CSC Corporate Domains, Inc.",0,true
articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign,elitefts.com,com,Privacy service provided by Withheld for Privacy ehf,2,false
broadwaystars.com/classic/?source=www.playbill.com,benign,broadwaystars.com,com,DATA REDACTED,0,true
http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement,pn-wuppertal.de,de,null,2,true
forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign,networkinfrastructure.info,info,null,2,true
youtube.com/watch?v=mwpoPQ1SPJU,benign,youtube.com,com,Google LLC,1,false
mccall-idchamber.org/,benign,mccall-idchamber.org,org,PrivacyGuardian.org llc,1,false
chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign,chacha.com,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0,false
friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign,friars.com,com,"GoDaddy.com, LLC",0,false
http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement,asociacionkaribu.org,org,"Asociacion Karibu, amigos del pueblo africano",0,false
http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing,martin-busker.de,de,null,2,true
pipl.com/directory/name/Whissell/180,benign,pipl.com,com,"GoDaddy.com, LLC",0,false
spokeo.com/John+Collet,benign,spokeo.com,com,REDACTED FOR PRIVACY,1,false
http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,defacement,parafiapiaski.pl,pl,Aftermarket.pl Limited,0,false
http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%bd%ce%b5%cf%82-%ce%b1%ce%bd-2/,benign,fanpage.gr,gr,null,1,false
faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign,faqs.org,org,"Advameg, Inc.",0,false
duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign,duckduckgo.com,com,Privacy service provided by Withheld for Privacy ehf,0,false
alexpay2.beget.tech,phishing,beget.tech,tech,Beget LLC,3,false
http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign,worldoftanks.ru,ru,Wargaming.net Limited,0,true
http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,defacement,artedesignsas.it,it,AD&Co S.a.s. di Esposito Carmen Debora,2,true
en.wikipedia.org/wiki/Lloyd_Bacon,benign,wikipedia.org,org,"Wikimedia Foundation, Inc.",1,false
http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign,serverfault.com,com,"CSC Corporate Domains, Inc.",2,true
http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,defacement,viamanaus.com.br,com.br,Via Turismo,0,false
ciajfk.com/harold.html,benign,ciajfk.com,com,Privacy service provided by Withheld for Privacy ehf,0,false
http://www.protect-effect.nl/diensten/62-telefonie,defacement,protect-effect.nl,nl,Realtime Register,3,false
indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign,indyweek.com,com,DATA REDACTED,2,false
linkedin.com/pub/charles-gariepy/2/642/28,benign,linkedin.com,com,LinkedIn Corporation,1,false
http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement,gst-ukraine.com.ua,com.ua,null,1,true
facebook.unitedcolleges.net,phishing,unitedcolleges.net,net,null,4,false
http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,phishing,bimabn.com,com,null,0,false
eyeappealoptometry.com/,benign,eyeappealoptometry.com,com,"GoDaddy.com, LLC",4,true
brophygen.com/,benign,brophygen.com,com,"GoDaddy.com, LLC",1,false
icehockey.wikia.com/wiki/Dan_Blackburn,benign,wikia.com,com,Contact Privacy Inc. Customer 0130027609,0,false
gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign,gurufocus.com,com,REDACTED FOR PRIVACY,0,false
http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,defacement,bg-ricevimenti.it,it,B & G Ristorazione Srl,2,false
stewstew.com/,benign,stewstew.com,com,Justin Ren,2,false
livingharvest.com/products/ice-cream-bars,benign,livingharvest.com,com,"GoDaddy.com, LLC",1,true
http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign,icicibank.com,com,"Network Solutions, LLC",0,false
http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware,9779.info,info,null,0,false
bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign,bleacherreport.com,com,"The Bleacher Report, Inc.",3,true
htp://youtube.com/watch?v=6Ar7sf6aU_M&list=PLMSYnjOjlErdyy83UXCykRV0-dXAMtFW-,benign,youtube.com,com,Google LLC,1,false
http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement,boeuf-soufflenheim.com,com,REDACTED FOR PRIVACY,3,false
artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign,artfacts.net,net,123-Reg Limited,1,true
parsippanysoccerclub.org/,benign,parsippanysoccerclub.org,org,Parsippany Soccer Club,1,false
international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign,uiowa.edu,edu,null,1,false
btscene.eu/verified-search/torrent/franco+piersanti/,benign,btscene.eu,eu,TLD Registrar Solutions Ltd,3,false
signature-editions.com/,benign,signature-editions.com,com,REDACTED FOR PRIVACY,2,true
en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign,wikipedia.org,org,"Wikimedia Foundation, Inc.",1,false
http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement,trenker-bestattungen.de,de,null,5,true
national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign,national.ca,ca,Le Cabinet de relations publiques NATIONAL inc.,0,true
halkbankparaf-para.com,phishing,halkbankparaf-para.com,com,null,0,false
http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign,motthegioi.vn,vn,null,1,false
metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign,metroactive.com,com,GoDaddy Online Services Cayman Islands Ltd.,2,true
https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D%E3%81%B3%EF%BC%81%E3%82%A8%E3%83%AD%E3%82%A2%E3%83%8B%E3%83%A1+%23ero+%23douga+%23agesage,benign,twitter.com,com,"CSC Corporate Domains, Inc.",1,false
http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign,correios.com.br,com.br,Empresa Brasileira de Correios e Tel grafos,1,false
http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign,olx.ro,ro,CSC Corporate Domains,0,false
http://www.aba-diagnostic.com/espace-prive/reset.html,defacement,aba-diagnostic.com,com,REDACTED FOR PRIVACY,0,true
msn.foxsports.com/nhl/player/yann-sauve/720461,benign,foxsports.com,com,"GoDaddy Corporate Domains, LLC",0,false
hallmark.businessgreetings.com/,benign,businessgreetings.com,com,Hallmark Licensing LLC,3,false
musicstack.com/records-cds/toni+tony+tone,benign,musicstack.com,com,DATA REDACTED,0,true
nudecelebsnow.com/tags/1/victoria+justus.htm,benign,nudecelebsnow.com,com,null,3,false
http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement,paoarapanui.cl,cl,null,0,false
worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign,worldwrestlinginsanity.com,com,Statutory Masking Enabled,1,true
http://www.designeremdoces.com/components/com_contact/ggdrives/,phishing,designeremdoces.com,com,null,4,false
http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign,slashdot.org,org,"Domains By Proxy, LLC",0,true
facebook.com/people/Yui-Takeshita/100001611015714,benign,facebook.com,com,"Meta Platforms, Inc.",1,false
sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign,sportsposterwarehouse.com,com,"Network Solutions, LLC",3,true
padmapper.com/search/apartments/Quebec/Montreal-est/,benign,padmapper.com,com,"NameCheap, Inc.",1,false
mrskin.com/christina-ricci-nude-c868.html,benign,mrskin.com,com,Redacted for Privacy Purposes,0,false
lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign,lip-service.com,com,"GoDaddy.com, LLC",2,false
http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement,tiendagnulinux.com.ar,com.ar,null,1,true
http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement,chelurao.ru,ru,DOMAINSHOP-RU,1,false
linkedin.com/pub/dir/elizabeth/scarborough,benign,linkedin.com,com,LinkedIn Corporation,1,false
cqgcr.ca/ang/producer01.php,benign,cqgcr.ca,ca,Conseil du Québec de la Guilde canadienne des réalisateurs,0,false
huffingtonpost.com/2011/10/24/south-carolina-primary-case_n_1029599.html,benign,huffingtonpost.com,com,MarkMonitor Inc.,0,false
http://qz.com/403774/quartz-daily-brief-japanese-military-verizon-aol-sporty-branson-saucy-swedes/,benign,qz.com,com,Privacy service provided by Withheld for Privacy ehf,0,false
select.nytimes.com/gst/abstract.html?res=F70814F93B581A7A93CBA9178BD95F4C8385F9,benign,nytimes.com,com,The New York Times Company,1,false
startrekcostumes.net/,benign,startrekcostumes.net,net,null,3,true
en.wikipedia.org/wiki/Neil_Curtis,benign,wikipedia.org,org,"Wikimedia Foundation, Inc.",1,false
music.carowinds.com/,benign,carowinds.com,com,Identity Protection Service,0,false
http://9779.info/%E6%A0%91%E5%8F%B6%E7%B2%98%E8%B4%B4%E7%94%BB/,malware,9779.info,info,null,0,false
newjersey.craigslist.org/,benign,craigslist.org,org,Craigslist,0,true
roverslands.net,phishing,roverslands.net,net,null,2,true
familypedia.wikia.com/wiki/Joseph_Philippe_Roi_de_Villere_%281727-1769%29,benign,wikia.com,com,Contact Privacy Inc. Customer 0130027609,0,false
http://mylust.com/videos/232790/hentai-slut-with-big-juicy-tits-gets-fucked-doggy-style/,benign,mylust.com,com,Whois Privacy (enumDNS dba),0,false
acronymfinder.com/John-Burroughs-High-school-(Burbank%2c-CA)-(JBHS).html,benign,acronymfinder.com,com,DATA REDACTED,1,false
http://www.familienbund.org/index.php?option=com_content&view=article&id=291:stellungnahme-des-familienbundes-der-katholiken-zum-referentenentwurf-eines-gesetzes-zur-erweiterung-der-grosselternzeit-&catid=5:stellungnahmen&Itemid=8,defacement,familienbund.org,org,united-domains GmbH,1,false
http://www.vanoorschotkranen.nl/hoogwerker/hoogwerkers.pdf,defacement,vanoorschotkranen.nl,nl,Combell B.V.,1,true
youtube.com/watch?v=K_-bsYE-y08,benign,youtube.com,com,Google LLC,1,false
myspace.com/jking909,benign,myspace.com,com,"GoDaddy.com, LLC",1,false
http://www.academiedumeuble.ca/index.php?option=com_seminar&task=3&cid=516&sem_midx=0&sem_jidx=0&Itemid=69,defacement,academiedumeuble.ca,ca,REDACTED FOR PRIVACY,4,false
corporacionrossenditotours.com,phishing,corporacionrossenditotours.com,com,null,1,true
http://maslen.sk/index.php?option=com_contact&view=contact&id=37:iados-o-obchodnu-spolupracu&catid=29:dopytformular&Itemid=5,defacement,maslen.sk,sk,MASLEN s.r.o.,1,false
http://www.clinicatecma.es/index.php/densiometria,defacement,clinicatecma.es,es,null,2,true
movies.msn.com/celebrities/celebrity/george-'gabby'-hayes/,benign,msn.com,com,Microsoft Corporation,0,false
idlebrain.com/news/functions/engagement-brahmini.html,benign,idlebrain.com,com,Idlebrain.com,1,false
vh1.com/video/that-metal-show/full-episodes/carmine-appice-dave-meniketti/1663564/playlist.jhtml,benign,vh1.com,com,MarkMonitor Inc.,0,false
archiver.rootsweb.ancestry.com/th/read/GEN-OBIT/2007-04/1176208149,benign,ancestry.com,com,MarkMonitor Inc.,1,true
perezhilton.com/category/william-shatner/,benign,perezhilton.com,com,"GoDaddy.com, LLC",2,false
fsnaindia.com/,benign,fsnaindia.com,com,null,0,false
actionjaxon666.wordpress.com/2011/02/24/new-macbook-pros-secretly-16gb-capable/,benign,wordpress.com,com,MarkMonitor Inc.,1,false
en.wikipedia.org/wiki/Kenji_Nojima,benign,wikipedia.org,org,"Wikimedia Foundation, Inc.",1,false
alaskajewelry.com/colored-stone-tanzanite-rings-c-21_72_91.html?=&infoBox=0,benign,alaskajewelry.com,com,Tucows Domains Inc.,2,false
greenparty.ca/campaign/24048,benign,greenparty.ca,ca,Green Party of Canada,2,true
http://mic.com/articles/117758/mtv-just-gave-these-artists-a-huge-platform-to-bring-attention-to-indigenous-rights,benign,mic.com,com,Identity Protection Service,0,false
randomhouse.com/book/84548/tapestry-of-spies-by-stephen-hunter,benign,randomhouse.com,com,"CSC Corporate Domains, Inc.",1,false
argentinawarez.com/musica-mp3-gratis/65991-ost-boat-rocked-soundtrack-2cd-2009-a.html,benign,argentinawarez.com,com,Realtime Register B.V.,2,true
192.com/atoz/people/gerrard/steven/,benign,192.com,com,123-Reg Limited,0,false
users6.nofeehost.com/aldenh/493.html,benign,nofeehost.com,com,"GoDaddy.com, LLC",2,false
facebook.com/opalhilldrive,benign,facebook.com,com,"Meta Platforms, Inc.",1,false
scottss.com/,benign,scottss.com,com,Jan Everno,0,false
http://drive-google-com.fanalav.com/6a7ec96d6a4b8b887e9f9ace81b40a99/,phishing,fanalav.com,com,null,0,false
manta.com/ic/mt6fkz0/ca/residence-sault-au-recollet,benign,manta.com,com,"Amazon Registrar, Inc.",0,true
http://www.perthshire-caravans.co.uk/stock-list/caravans/706-elddis-odyssey-540,defacement,perthshire-caravans.co.uk,co.uk,Ionos SE [Tag = 1AND1],2,true
forum.exscn.net/archive/index.php/t-10778.html?pda=1,benign,exscn.net,net,"GoDaddy.com, LLC",2,false
superpages.com/bp/Kansas-City-KS/Kansas-City-Terminal-Railway-L2170949422.htm,benign,superpages.com,com,"CSC Corporate Domains, Inc.",2,false
maxlapointe.com/?p=141,benign,maxlapointe.com,com,null,1,true
http://rendeck.com/index.php/nl/vacatures/table/9/0/index.html?resetfilters=0,defacement,rendeck.com,com,null,2,false
ca.ratemyteachers.com/louise-trichet/106184-s,benign,ratemyteachers.com,com,"GoDaddy.com, LLC",3,true
cardomain.com/ride/2424103/2006-pontiac-gto,benign,cardomain.com,com,"CSC Corporate Domains, Inc.",0,false
apps.facebook.com/ilike/artist/Les+Respectables,benign,facebook.com,com,"Meta Platforms, Inc.",1,false
cbssports.com/nba/players/playerpage/20626/paul-pierce,benign,cbssports.com,com,MarkMonitor Inc.,0,false
detkreimeier-fotografie.de,phishing,detkreimeier-fotografie.de,de,null,6,true
http://listovka.info/xmap.html,defacement,listovka.info,info,null,0,true
home.comcast.net/~jcage89/350z/navbox/index.htm,benign,comcast.net,net,"CSC Corporate Domains, Inc.",1,true
margaritawill.com/hotdogs/,benign,margaritawill.com,com,"Wild West Domains, LLC",0,true
pipl.com/directory/name/Pallas/Tony,benign,pipl.com,com,"GoDaddy.com, LLC",0,false
newyorker.com/archive/1982/04/12/1982_04_12_039_TNY_CARDS_000335949,benign,newyorker.com,com,"CSC Corporate Domains, Inc.",2,false
youtube.com/watch?v=eMY1FT3Pqh8,benign,youtube.com,com,Google LLC,1,false
law.cornell.edu/wex/Joint_venture,benign,cornell.edu,edu,null,2,false
pitchfork.com/reviews/albums/13979-broken-bells/,benign,pitchfork.com,com,"CSC Corporate Domains, Inc.",0,false
http://skyrock.com/videos/eDJwODRhNzoxMw==-bug-1187-moi-ma-famille.html?top=3&period=recent,benign,skyrock.com,com,VORTEX,0,false
hollywood.com/movie/Biutiful/6870447,benign,hollywood.com,com,"Hollywood.com, LLC",0,false
facebook.com/pages/The-Paul-Lynde-Halloween-Special-1976/280289980245,benign,facebook.com,com,"Meta Platforms, Inc.",1,false
hot-people.info/Crossett_AR_Dorothy-Moore_Eric--Newton_1051.html,benign,hot-people.info,info,null,2,false
onlineradio7.com/listen/CFLO_1047,benign,onlineradio7.com,com,null,1,false
http://9779.info/%E5%8F%A4%E4%BB%A3%E4%BA%8C%E5%8D%81%E5%9B%9B%E5%AD%9D%E5%B8%83%E8%B4%B4%E7%94%BB/,malware,9779.info,info,null,0,false
http://www.jnpiraq.net/arabic/index.php?option=com_content&view=article&id=610&catid=5&Itemid=10,defacement,jnpiraq.net,net,null,1,true
artistswithaids.org/artforms/music/catalogue/rileyl.html,benign,artistswithaids.org,org,Super Privacy Service LTD c/o Dynadot,0,true
http://www.versverwerktegroenten.nl/bruine-bonen.html,defacement,versverwerktegroenten.nl,nl,RegistrarHub,6,false
mylife.com/dominicbouchard,benign,mylife.com,com,"Network Solutions, LLC",1,false
mmagearguide.com/ufc-117-t-shirts-silva-vs-sonnen/,benign,mmagearguide.com,com,"GoDaddy.com, LLC",2,false
worldtraveltours.org/4-alternative-places-you-can-choose-at-montreal-travel/.html,benign,worldtraveltours.org,org,null,1,true
iptv.org/,benign,iptv.org,org,Iowa Public Television,0,false
elliscountydivorcelawyer.com/ellis-county-post-divorce-modification.htm,benign,elliscountydivorcelawyer.com,com,Byron Winborne,3,true
http://grantland.com/the-triangle/2015-mlb-over-under-bets-chicago-cubs-houston-astros-oakland-as-tampa-bay-rays/,benign,grantland.com,com,"CSC Corporate Domains, Inc.",0,true
fanpix.net/gallery/doug-savant-pictures.htm,benign,fanpix.net,net,REDACTED FOR PRIVACY,1,true
chacha.com/question/what-time-does-metro-center-mall-close,benign,chacha.com,com,"Alibaba Cloud Computing (Beijing) Co., Ltd.",0,false
